name,id,type,producer_name,package,price,regular_price,savings,offer_end_date,stock_type,sugar_content,origin,is_vqa,description,image_thumb_url,image_url,varietal,style
Cavit Collection Pinot Grigio Delle Venezie IGT,99218,White Wine,Ca'Vit-Consorzio Cantine Sociali,750 mL bottle,10.45,11.95,1.5,2013-06-23,LCBO,XD - Extra Dry,"Veneto, Italy",false,,http://lcbo.com/assets/products/234x234/0099218.jpg,http://lcbo.com/assets/products/720x720/0099218.jpg,Pinot Grigio,Light & Crisp
Fat Bastard Chardonnay Vdp,563130,White Wine,Domaines Du Soleil,750 mL bottle,13.45,14.95,1.5,2013-06-23,LCBO,XD - Extra Dry,France,false,,http://lcbo.com/assets/products/234x234/0563130.jpg,http://lcbo.com/assets/products/720x720/0563130.jpg,Chardonnay,Full-bodied & Rich
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Linden Bay Pinot Grigio,212134,White Wine,Constellation Brands Inc.,750 mL bottle,9.94,10.95,1.01,2013-06-23,LCBO,D - Dry,"Ontario, Canada",false,,http://lcbo.com/assets/products/234x234/0212134.jpg,http://lcbo.com/assets/products/720x720/0212134.jpg,Pinot Grigio,Light & Crisp
Osborne Solaz Tempranillo Cabernet Sauvignon,610188,Red Wine,Osborne Y Cia,750 mL bottle,9.94,10.95,1.01,2013-06-23,LCBO,D - Dry,"Rueda, Spain",false,,http://lcbo.com/assets/products/234x234/0610188.jpg,http://lcbo.com/assets/products/720x720/0610188.jpg,Blend,Medium-bodied & Fruity
Pelee Island Monarch Vidal VQA,393405,White Wine,Pelee Island Vineyard Inc.,750 mL bottle,9.94,10.95,1.01,2013-06-23,LCBO,D - Dry,"Ontario, Canada",true,,http://lcbo.com/assets/products/234x234/0393405.jpg,http://lcbo.com/assets/products/720x720/0393405.jpg,Vidal,Light & Crisp
Family Series Chardonnay VQA Peller Estates,582825,White Wine,Andres Wines Ltd,750 mL bottle,9.94,10.95,1.01,2013-06-23,LCBO,D - Dry,"Ontario, Canada",true,,http://lcbo.com/assets/products/234x234/0582825.jpg,http://lcbo.com/assets/products/720x720/0582825.jpg,Chardonnay,Light & Crisp
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Pelee Island Pinot Noir,45617,Red Wine,Pelee Island Vineyard Inc.,750 mL bottle,9.94,10.95,1.01,2013-06-23,LCBO,D - Dry,Canada,false,,http://lcbo.com/assets/products/234x234/0045617.jpg,http://lcbo.com/assets/products/720x720/0045617.jpg,Pinot Noir,Medium-bodied & Fruity
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Girls' Night Out Citrusberry Twist,250258,Specialty Wines/Other,Colio Wines of Canada Ltd.,1500 mL bottle,11.95,12.95,1.0,2013-06-23,LCBO,,"Ontario, Canada",false,,,,Flavoured Wine,Medium
,,,,,,,,,,,,,,,,,
Mezzacorona Pinot Grigio Trentino IGT,302380,White Wine,Cantine Mezzacorona,750 mL bottle,11.95,12.95,1.0,2013-06-23,LCBO,D - Dry,"Trentino, Italy",false,,http://lcbo.com/assets/products/234x234/0302380.jpg,http://lcbo.com/assets/products/720x720/0302380.jpg,Pinot Grigio,Light & Crisp
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
G. Marquis Riesling the Red Line VQA,274670,White Wine,Magnotta Winery,750 mL bottle,10.95,11.95,1.0,2013-06-23,LCBO,D - Dry,"Ontario, Canada",true,,http://lcbo.com/assets/products/234x234/0274670.jpg,http://lcbo.com/assets/products/720x720/0274670.jpg,Riesling,Off-dry & Fruity
Stoney Ridge Pinot Noir VQA,156125,Red Wine,Stoney Ridge Cellars Ltd.,750 mL bottle,12.95,13.95,1.0,2013-06-23,LCBO,XD - Extra Dry,"Ontario, Canada",true,,http://lcbo.com/assets/products/234x234/0156125.jpg,http://lcbo.com/assets/products/720x720/0156125.jpg,Pinot Noir,Medium-bodied & Fruity
Goose Bay Sauvignon Blanc Kpm,28134,White Wine,Royal Wines,750 mL bottle,19.85,20.85,1.0,2013-06-23,VINTAGES,D - Dry,"Marlborough, New Zealand",false,,,,Sauvignon Blanc,Light & Crisp
Domaine Jean Bousquet Malbec Organic,160952,Red Wine,Domaine Jean Bousquet,750 mL bottle,11.95,12.95,1.0,2013-06-23,LCBO,XD - Extra Dry,Argentina,false,,http://lcbo.com/assets/products/234x234/0160952.jpg,http://lcbo.com/assets/products/720x720/0160952.jpg,Malbec,Full-bodied & Smooth
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Open Chardonnay VQA,305151,White Wine,Constellation Brands Inc.,750 mL bottle,10.95,11.95,1.0,2013-06-23,LCBO,M - Medium,"Ontario, Canada",true,,,,Chardonnay,Off-dry & Fruity
